id,social_network_account_id,social_network_account_followers,code_iso,comments,like,love,haha,wow,angry,sad,shares,post_impressions,post_impressions_unique,post_consumptions,total_video_views,total
467,40139,2008275,MX,0,9,0,0,0,0,0,0,28562,0,0,0,9
476,36491,27459,MX,5,40,2,0,0,0,0,13,1456,561,876,1731,47
580,42191,833761,MX,171,9402,919,4,13,0,2,365,146156,0,13154,0,10876
145,34844,274689,MX,12,619,157,130,1,3,1,0,33665,21942,2340,0,3263
190,43039,203551,MX,82,4739,1462,73,19,2,1,11,0,0,0,0,6389
448,40139,2008275,MX,0,71,5,0,0,0,0,14,31347,0,0,0,76
566,29314,293030,PE,9,217,28,0,0,0,0,1,12284,8049,115,0,370
429,42703,4817,MX,1,49,9,0,0,0,0,4,2387,1610,75,0,138
35,40126,0,AR,16,443,44,0,0,0,1,8,0,0,0,0,512
464,30252,335951,MX,25,4141,1366,48,1,1,5,0,1734,0,0,0,5587
427,30710,323403,MX,126,946,190,3,2,0,0,5,53274,37809,7203,0,8475
452,45889,55981,PE,4,48,3,3,1,0,0,0,8187,5757,212,0,271
449,30252,335951,MX,30,10168,4154,72,8,3,3,49,1786,0,0,0,14438
458,37228,59969,MX,6,545,99,3,0,0,0,1,11314,7616,355,0,1009
267,40567,261659,MX,0,1872,159,0,5,0,0,5,50920,45695,1663,0,3704
446,37228,59969,MX,9,1190,287,0,6,0,0,3,22895,15719,957,0,2452
402,44488,388453,MX,1,216,20,6,8,0,1,81,15222,10879,453,0,786
453,28990,176909,PE,5,57,4,13,7,0,1,0,17353,10615,884,0,971
473,40878,76586,MX,3,191,33,0,0,0,0,0,5302,0,0,0,227
471,25801,13821,CL,48,549,137,1,8,0,0,6,27640,20050,2599,0,3348
478,46020,10505,CO,6,13,1,0,0,0,0,4,1023,0,0,0,24
430,42703,4817,MX,1,44,10,0,0,0,0,1,1237,797,61,0,117
554,30694,810571,PE,107,7193,852,43,22,7,2,26,233441,160501,6913,0,15165
461,28738,343053,MX,2,8,0,0,0,0,0,1,4844,2900,72,0,83
435,32027,403501,MX,10,527,137,5,2,0,0,3,33747,23154,749,0,1433
206,41896,144594,PE,14,194,20,0,2,0,0,0,19592,14148,989,0,1219
